@relation dataset

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute cycle {yes,no}

@data
12, 3, 13, 11, 14, 0, 18, 16, yes
12, 3, 13, 11, 13, 0, 17, 15, yes
12, 3, 13, 11, 12, 0, 16, 14, yes
12, 3, 13, 11, 11, 0, 15, 13, yes
12, 3, 13, 11, 10, 0, 14, 12, yes
12, 3, 13, 11, 9, 0, 13, 11, yes
11, 2, 12, 10, 1, 3, 4, 2, yes
11, 2, 12, 10, 2, 1, 5, 3, yes
11, 2, 12, 10, 3, 0, 6, 4, yes
11, 2, 12, 10, 4, 3, 7, 5, yes
11, 2, 12, 10, 5, 0, 8, 6, yes
11, 2, 12, 10, 6, 0, 9, 7, yes
11, 2, 12, 10, 7, 0, 10, 8, yes
11, 2, 12, 10, 8, 0, 11, 9, yes
11, 2, 12, 10, 0, 2, 3, 1, yes
11, 2, 12, 10, 15, 0, 18, 16, yes
11, 2, 12, 10, 14, 0, 17, 15, yes
11, 2, 12, 10, 13, 0, 16, 14, yes
11, 2, 12, 10, 12, 0, 15, 13, yes
11, 2, 12, 10, 11, 0, 14, 12, yes
11, 2, 12, 10, 10, 0, 13, 11, yes
11, 2, 12, 10, 9, 0, 12, 10, yes
10, 0, 11, 9, 1, 2, 2, 0, yes
10, 0, 11, 9, 2, 3, 3, 1, yes
10, 0, 11, 9, 3, 1, 4, 2, yes
10, 0, 11, 9, 4, 0, 5, 3, yes
10, 0, 11, 9, 5, 3, 6, 4, yes
10, 0, 11, 9, 6, 0, 7, 5, yes
10, 0, 11, 9, 7, 0, 8, 6, yes
10, 0, 11, 9, 8, 0, 9, 7, yes
10, 0, 11, 9, 0, 0, 1, -1, yes
10, 0, 11, 9, 15, 0, 16, 14, yes
10, 0, 11, 9, 14, 0, 15, 13, yes
10, 0, 11, 9, 13, 0, 14, 12, yes
10, 0, 11, 9, 12, 0, 13, 11, yes
10, 0, 11, 9, 11, 0, 12, 10, yes
10, 0, 11, 9, 10, 0, 11, 9, yes
10, 0, 11, 9, 9, 0, 10, 8, yes
9, 3, 10, 8, 1, 0, 5, 3, yes
9, 3, 10, 8, 2, 2, 6, 4, yes
9, 3, 10, 8, 3, 3, 7, 5, yes
9, 3, 10, 8, 4, 1, 8, 6, yes
9, 3, 10, 8, 5, 0, 9, 7, yes
9, 3, 10, 8, 6, 3, 10, 8, yes
9, 3, 10, 8, 7, 0, 11, 9, yes
9, 3, 10, 8, 8, 0, 12, 10, yes
9, 3, 10, 8, 0, 3, 4, 2, yes
9, 3, 10, 8, 15, 0, 19, 17, yes
9, 3, 10, 8, 14, 0, 18, 16, yes
9, 3, 10, 8, 13, 0, 17, 15, yes
9, 3, 10, 8, 12, 0, 16, 14, yes
9, 3, 10, 8, 11, 0, 15, 13, yes
9, 3, 10, 8, 10, 0, 14, 12, yes
9, 3, 10, 8, 9, 0, 13, 11, yes



1, 1, 2, 0, 1, 0, 3, 1, yes
1, 1, 2, 0, 2, 1, 4, 2, yes
1, 1, 2, 0, 3, 2, 5, 3, yes
1, 1, 2, 0, 4, 0, 6, 4, yes
1, 1, 2, 0, 5, 1, 7, 5, yes
1, 1, 2, 0, 6, 7, 8, 6, yes
1, 1, 2, 0, 7, 2, 9, 7, yes
